ID	カード名	作成者	ステータス	種類	属性	ATC	DEF	レアリティ	デバフ効果（エフェクトのみ）	カード説明文（１００文字）	フィードバック
C021	火守のハウンド	佐怒賀	実装	キャラクター	火	100	100	N		蒸気機関の廃熱で動く、自律AI搭載の猟犬種。全身の歯車から火花を散らし、電脳空間の侵入者を物理的に排除する。錆びついた真鍮の牙には、過熱した高圧蒸気が常に循環し、侵入者のログごと噛み砕き、消去する。	OKです。
C022	荒海のイッカク騎士	佐怒賀	実装	キャラクター	水	100	100	N		雲の隙間から光差す嵐の海を支配する孤高の騎士。その鋭利な角槍は荒波の魔力を纏い、立ちはだかる邪悪を容赦なく貫き、砕く。波濤に揉まれし岩礁に立ち、海の平穏を乱す不届き者を一突きで地の底へ沈める戦士なり。	OKです。
C023	樹界の防壁 ガイア	佐怒賀	実装	キャラクター	木	100	100	N		深い森に棲む樹皮の鱗を持つ竜。翼を持たず大地を歩み、その尻尾には色とりどりのキノコや青草が茂る。木製の剣と盾を携え森を巡るが、決して争わず豊かな種を撒く。命を育むことに専念する、心優しき森の守護者。	OKです。
C024	ゴールドゴブリン	佐怒賀	実装	キャラクター	金	100	100	N		金属性の自律人形。スチームパンクの蒸気機関とサイバーパンクの電子回路が融合した、この秘密基地の守護者である。左手に握られた金鉱石は、基地の演算能力を高める重要な触媒であり、絶えぬ駆動音が静かに響く。	スチームパンクの要素もあってＧｏｏｄです！ ＯＫです！
C025	砂塵の亡霊	佐怒賀	実装	キャラクター	土	100	100	N		廃棄エリアの砂塵に消去データの残滓が宿り、実体を得た亡霊。砂のフードに潜む双眸が鋭く光り、周囲には浮遊する石と錆びた歯車が渦巻く。荒野を彷徨い、デジタルと物質が混ざり合う境界を守る、不気味な守護者だ。	いい感じですね！ OKです！
C026	白熱する未完の知能	佐怒賀	実装	キャラクター	光	100	100	N		スチームパンクの情景が広がるアジトの深部。蒸気機関の熱気に中てられ、不定形の光子が激しく明滅を繰り返す。その未完成な姿は、電子の海と歯車の機構が交差するこの場所で、新たなAIの胎動を予感させている。	OKです。
C027	影纏いの歯車	佐怒賀	実装	キャラクター	闇	100	100	N		無数の歯車とデジタル信号が織りなす力で、すべてを飲み込む影を操る。その冷徹な意志は、アジトの秘密を守護するスチームパンクの最深部に潜む闇の番人として君臨する。	OKです。
C028	熔鉄のゲル	佐怒賀	実装	キャラクター	火	100	100	N		溶鉱炉職員の天敵。精巧な歯車を熱で歪ませ、AI制御の安全装置をハッキングするように焼き切る。物理的な破壊とシステム汚染を同時に引き起こすため、基地の維持管理を脅かす最も忌むべき存在として定義される	OKです。
C029	蒸気霊：アビス	佐怒賀	実装	キャラクター	水	100	100	N		基地の配管や冷却水、電脳空間の結露に潜む水属性の魔物。蒸気機関の熱を奪い、電子回路をショートさせる。実体とデータの間を揺らぎ、あらゆる水分を介して侵入するこの個体は、掃討リストの末端に刻まれている。	OKです。
C030	回路の庭師	佐怒賀	実装	キャラクター	木	100	100	N		蒸気機関の熱を養分に変え、電脳回路が張り巡らされた植物群を管理する。歯車と蔦が絡み合うこの緑園は、鉄の基地における唯一の酸素供給源である。静寂の中、自動メンテナンスの駆動音だけが深緑の影に響く。	OKです。
C031	蒸気掘削機ピコ	佐怒賀	実装	キャラクター	金	100	100	N		蒸気機関と高度AIを搭載した自律型採掘ユニット。電子の瞳で地層を解析し、歯車の駆動で硬い岩盤を穿つ。深層に眠る高純度な金鉱石を効率的に特定し、アジトの静寂の中に金属音だけを響かせる。	OKです。
C032	鋼掘の土竜「モウル」	佐怒賀	実装	キャラクター	土	100	100	N		蒸気機関の振動をデジタル信号へ変換し、地下の土壌データを解析する大型自律土竜。真鍮の爪が硬質な岩盤を砕き、スチームパンクの拠点に安定した大地を構築する。土属性のシステム維持に特化した基盤整備ユニット。	OKです。
C033	燐光の整備士	佐怒賀	実装	キャラクター	光	100	100	N		蒸気と歯車が軋む深部。デジタル回路を内蔵した発光素子が、静寂の中に淡い光を灯す。巡回する整備士の指先から零れる燐光は、薄暗い秘密基地の影を暴き出し、未知のコードを静かに書き換えていく。	OKです。
